,DOCUMENT NUMBER,INPUT DATE,GEOGRAPHIC AREA,DOCUMENT DESCRIPTION,ITEM DESCRIPTION,COMMODITY DESCRIPTION,combined_desc,embeds
0,19007185,10/08/2019,,LIGHTNING BOLT ORDER,CAP  GALVANIZED  3/8,CAPS,LIGHTNING BOLT ORDERCAP  GALVANIZED  3/8CAPS,"[-8.59954208e-02  3.93555611e-02  8.04383978e-02  2.54504271e-02
  3.08192112e-02  2.04849499e-03  1.79896075e-02  5.86554892e-02
  4.53171544e-02 -1.59200132e-02 -1.54561242e-02  3.17834914e-02
 -4.08580191e-02  3.80818360e-02 -7.80622885e-02  5.10548381e-03
 -4.65449840e-02  3.67452204e-02 -2.60961950e-02  4.28131633e-02
  1.93416886e-03 -4.97045927e-02 -1.79401634e-03  9.39334277e-03
  7.27778077e-02  9.53905135e-02 -1.80146024e-02  4.59952839e-02
 -1.96639635e-02 -1.53355971e-02 -2.78226361e-02 -1.02833740e-01
 -3.17059085e-02  1.37675926e-02 -1.98418088e-02  1.45293484e-02
 -2.04561707e-02  8.84111505e-04  4.49046716e-02  3.08982171e-02
 -1.51064536e-02  7.13690370e-02  8.96080807e-02 -9.11531001e-02
  4.74578999e-02  5.69083504e-02  2.41604820e-02 -5.99227659e-03
 -8.59945361e-03 -8.99702124e-03  5.54314181e-02 -3.95054631e-02
 -2.27959678e-02  7.18126670e-02 -6.53741416e-03  2.70331968e-02
 -3.82038839e-02 -4.94623892e-02  6.85001910e-02  8.99716541e-02
 -5.86043261e-02 -1.06494781e-02 -2.58515999e-02  3.18047889e-02
  1.98718514e-02 -6.82860753e-03 -5.32082422e-03  4.55326028e-03
 -8.53616670e-02  2.48395987e-02  2.43886933e-02 -7.94425141e-03
 -1.05489157e-01 -4.62966114e-02 -2.91918386e-02  1.51103050e-01
  1.21886900e-03 -2.26196870e-02 -5.72300069e-02  4.17943522e-02
 -2.75032185e-02  2.74292659e-02 -3.06967786e-03  5.98356426e-02
  4.03774232e-02 -3.76913836e-03 -1.03140566e-02 -7.04147946e-03
 -4.26885225e-02 -2.20961552e-02 -4.60520051e-02  6.47067130e-02
 -1.92132331e-02  6.99574500e-02  1.65207349e-02  1.09456301e-01
  4.78676148e-02  2.42223237e-02 -3.48338448e-02  4.52864021e-02
  5.22892997e-02 -3.63476984e-02 -7.50544891e-02 -8.04047659e-02
  9.00345147e-02  2.85701919e-02 -5.39792478e-02  1.33504365e-02
 -5.38615882e-02 -9.04488377e-03  7.14534968e-02 -4.55959328e-02
 -1.06035925e-01 -5.82413524e-02 -2.09504496e-02 -4.19072167e-04
 -4.51973341e-02 -1.41582750e-02  1.21644661e-02 -5.84888682e-02
 -1.51326386e-02  4.82031591e-02  1.36299413e-02 -3.53999399e-02
 -4.47271429e-02  7.87159801e-02 -1.48128928e-03  1.18247183e-33
 -2.11727936e-02 -1.09173385e-02 -8.96725059e-03 -5.19502815e-03
 -9.75077972e-03  5.41534647e-03  5.81100658e-02 -2.83606686e-02
 -2.72046179e-02  5.71979694e-02  6.31611608e-03  1.08530886e-01
  4.95982505e-02 -1.00898542e-01  3.10131609e-02 -8.04358721e-02
  2.37073787e-02  6.98870793e-03 -3.31313834e-02 -2.14694720e-02
 -3.48005891e-02 -7.28627071e-02  2.82904934e-02  5.02344221e-02
  6.41318485e-02  2.89191995e-02  3.86842228e-02 -6.42539039e-02
  4.34349142e-02 -5.12237474e-03  1.78601835e-02  9.40003246e-02
  2.21056435e-02 -2.91308225e-03  1.82012294e-03 -4.73827608e-02
 -3.57701816e-02 -4.11096923e-02 -1.11952256e-02 -2.17348728e-02
  7.68659487e-02  1.87514648e-02 -6.24921843e-02  1.93835013e-02
  5.57456091e-02  3.24667282e-02 -7.59805143e-02  8.82312190e-03
  3.64179760e-02 -1.56079454e-03 -1.82936899e-02  6.08373843e-02
  8.01770575e-03  7.68705308e-02  2.53587402e-02  2.74561550e-02
 -6.72078086e-03  3.91014107e-02  1.21701650e-01  1.23037619e-03
 -4.50812317e-02  8.63750950e-02  3.82741727e-03 -4.03835140e-02
  2.66156122e-02  6.01495467e-02  1.72541128e-04  2.67738830e-02
 -7.44588077e-02 -8.67385417e-02  3.44530120e-02 -3.90349664e-02
 -3.88905369e-02  1.41943604e-01 -1.47689153e-02 -2.01910343e-02
  5.55624533e-03  5.67910783e-02  8.40159133e-02 -4.09031697e-02
 -4.35674787e-02  4.02556174e-02  8.25983882e-02  4.26593497e-02
 -4.73318361e-02 -1.28818557e-01  3.87941562e-02  4.19418178e-02
 -1.85695942e-02 -2.40107183e-03  6.09062798e-02  3.07189825e-04
  3.14320065e-02 -3.13069597e-02 -5.20913377e-02 -1.13592914e-33
  6.94089085e-02  2.63394299e-03 -9.01576430e-02 -6.62568733e-02
  7.81345144e-02 -6.56009093e-02 -6.47954643e-02 -8.37903842e-02
 -2.27246936e-02  1.39011107e-02  3.77531834e-02  3.88680510e-02
 -1.29882842e-02  6.96522370e-02  2.18650438e-02  1.18803727e-02
 -2.86726207e-02 -3.27189453e-02 -3.57507356e-02 -2.20990330e-02
  1.31393820e-01  3.36244106e-02  2.49848142e-02  9.94190946e-02
 -1.17756063e-02 -3.94334309e-02  7.67478794e-02  6.78935787e-03
 -3.65287624e-02  4.86058407e-02  3.85740786e-05  9.32251066e-02
  3.52309719e-02  4.89426851e-02 -3.47061493e-02 -4.28439192e-02
  4.31345403e-02 -3.42449397e-02  7.12367371e-02 -3.51563804e-02
  4.21105586e-02 -8.57415572e-02  1.66999474e-02 -1.89803485e-02
 -5.90981692e-02 -4.88833115e-02  2.08567437e-02 -5.00371754e-02
 -3.54472827e-03  8.79448801e-02 -5.14820330e-02  3.12734162e-04
 -7.92776495e-02  5.23734353e-02 -4.19133119e-02 -9.40230340e-02
  2.73119081e-02 -5.50109483e-02 -5.33323968e-03 -4.66923714e-02
  8.78050253e-02  1.09845679e-02  9.09344926e-02 -4.04401645e-02
  4.42684768e-03 -2.63296664e-02 -1.74250882e-02 -1.06862411e-01
 -6.26804233e-02 -2.59257760e-02  1.08956590e-01 -7.08031654e-02
  1.30314663e-01 -2.98642386e-02  5.52210025e-03 -8.65206495e-02
  7.09381625e-02  9.20586139e-02  8.32110941e-02 -1.06008105e-01
  9.56066232e-03  5.34540936e-02  3.16452642e-04  4.92665358e-02
  2.88919695e-02 -7.49601871e-02  6.56287223e-02  2.93071400e-02
 -3.58057804e-02  2.75638215e-02  6.50174310e-03 -6.64907992e-02
  6.90847933e-02  6.33278489e-02 -1.91491097e-02 -1.60443214e-08
  1.24820480e-02  5.26777916e-02  7.43904966e-04  6.00061985e-03
 -2.23754179e-02  8.38141441e-02 -3.58463936e-02  9.16126370e-03
 -3.26836370e-02 -4.08116803e-02  7.70142153e-02 -2.62805857e-02
 -2.67577618e-02 -2.32055746e-02 -3.68896313e-02  4.27849824e-03
 -7.91789591e-03 -1.84203293e-02 -4.50131148e-02 -5.44619337e-02
 -3.45657468e-02  5.28876372e-02  1.00937784e-01 -3.38143632e-02
 -3.05774640e-02  6.54174089e-02  6.57184329e-03 -9.43894777e-03
  2.65002586e-02 -9.17028729e-03 -1.90552941e-03  5.05729280e-02
  2.44690087e-02 -6.29627630e-02  3.43462601e-02  3.01838070e-02
 -9.67541486e-02 -3.37443640e-03 -1.45035191e-02 -6.35994822e-02
 -1.04809441e-01 -9.93525013e-02  1.57003067e-02 -3.72311957e-02
 -8.32586735e-02  8.63618776e-03 -5.68437949e-02  2.33615395e-02
  1.00446977e-02  5.19030429e-02 -2.50874814e-02 -7.14712963e-02
 -2.26593949e-02 -1.74351241e-02 -2.18617041e-02  1.44707020e-02
 -1.68943293e-02  9.84752551e-03 -6.56525046e-02 -1.15843527e-01
 -1.45735145e-02 -8.96146894e-02 -1.48334093e-02  6.90329447e-02]"
1,22006802,08/29/2022,,RAIN JACKET MEDIUM  HI VIS  EM,BOOTS  SZ-9  KNEE  P V C  SAFETY TOE,"BOOTS, RUBBER, SAFETY TOE","RAIN JACKET MEDIUM  HI VIS  EMBOOTS  SZ-9  KNEE  P V C  SAFETY TOEBOOTS, RUBBER, SAFETY TOE","[-6.76451921e-02  5.35392910e-02  6.87718987e-02  6.17446331e-03
  1.23582460e-01  5.81134260e-02  8.69394392e-02  1.15666457e-01
 -9.05579999e-02  4.87635061e-02  7.57440738e-03 -4.59212475e-02
  5.47827519e-02 -7.93926045e-03 -8.04099739e-02 -5.25941774e-02
 -2.24426873e-02  5.99598736e-02 -1.32709472e-02 -1.76334679e-02
  1.10159926e-02 -8.43137410e-03  2.97284294e-02  3.25563140e-02
 -1.39283180e-01  1.28744757e-02  5.32392338e-02  9.35212597e-02
 -5.69470227e-02 -1.05876714e-01 -5.45192324e-02  2.54929196e-02
  2.64168568e-02  2.15381365e-02  3.60009959e-03 -5.07454239e-02
  6.89833611e-02 -5.35715977e-03 -7.66208619e-02  6.88714683e-02
 -3.74673083e-02 -5.74048497e-02 -5.64781986e-02 -2.57475339e-02
  6.71793073e-02  4.05085199e-02  5.53748198e-02  1.54431211e-02
 -5.65428846e-02  5.67314699e-02  4.00016680e-02  3.43844257e-02
  1.96582098e-02  1.18395705e-02  3.02385241e-02 -8.58568251e-02
 -1.39343366e-02 -2.82019190e-03 -4.68482971e-02 -6.06684498e-02
  5.29574379e-02  4.41790326e-03 -1.39293566e-01  2.22791284e-02
  1.39776031e-02  1.79882217e-02 -5.73220029e-02 -3.81935537e-02
 -1.88510697e-02  3.25429849e-02 -4.11584787e-02  2.44253632e-02
  1.41770327e-02  1.79837365e-02 -1.11355416e-01 -9.94050130e-03
  4.27799560e-02 -2.66077314e-02 -2.13305419e-03 -3.05261905e-03
 -5.73214479e-02 -1.55773675e-02  4.55150492e-02  3.62046482e-03
  3.76119837e-02  3.90879326e-02  2.34336238e-02 -1.47059457e-02
 -5.32762967e-02  3.37914191e-02 -6.50766566e-02 -3.06629669e-02
  1.71291884e-02  5.53001976e-03  5.26288040e-02  5.77006340e-02
  5.98616432e-03 -6.24868944e-02 -3.58890891e-02  3.11573055e-02
  1.66888423e-02 -2.55557504e-02  5.70731871e-02  6.85255826e-02
  5.39649427e-02 -5.51757477e-02 -4.71271835e-02  9.01997462e-03
  2.35694703e-02 -1.31080234e-02 -5.63928038e-02 -1.48023302e-02
 -7.54234865e-02 -2.38169637e-02 -3.71686891e-02 -1.27598047e-01
 -7.93503076e-02  1.04415014e-01  9.35805216e-02 -2.86266790e-03
 -1.28895193e-02 -7.45993480e-03  2.69797295e-02 -5.75010031e-02
 -3.74204330e-02 -9.64823589e-02  6.47106096e-02  3.57388670e-33
  1.34356124e-02 -2.36756224e-02 -1.93324480e-02  3.19826342e-02
 -3.20692584e-02  2.27468032e-02  4.68579270e-02 -4.61752079e-02
  1.40137989e-02  7.73436949e-02 -1.16439246e-01  8.28061774e-02
 -4.94400132e-03  6.85039759e-02  7.72781372e-02 -2.85427854e-03
 -2.04185117e-02 -3.96514796e-02 -6.64488226e-02 -5.55299036e-02
  6.60748500e-03 -2.40075346e-02  4.48632799e-02  2.85683908e-02
  7.73598924e-02 -3.25597823e-02  2.51736231e-02 -4.19857353e-02
  1.69050146e-03  1.43948998e-02 -3.95518579e-02  5.08926623e-02
  7.52604678e-02 -1.09144105e-02 -3.99675639e-03  5.37882708e-02
  2.18497869e-02 -4.14090715e-02  6.93160808e-03 -1.05568103e-01
  4.54339981e-02 -6.86972141e-02  2.70550083e-02 -5.41205108e-02
 -1.33008230e-02  1.78976543e-02  1.90876443e-02  1.52930096e-02
  3.08064260e-02 -1.28560528e-01  3.84779498e-02  1.81385316e-02
  7.95776695e-02 -9.95779037e-02 -5.53457737e-02  1.65997911e-02
  3.31589505e-02  6.85141459e-02 -2.59239469e-02  6.95806965e-02
 -4.00576927e-02  4.51134667e-02  5.74879758e-02 -7.11494684e-02
  3.21954377e-02 -4.32879925e-02  8.53850623e-04 -4.91966456e-02
 -6.17436832e-03 -5.35201505e-02 -5.50328270e-02 -2.72644199e-02
  1.20852709e-01  4.40425053e-02 -3.31807397e-02  4.49906439e-02
  2.17515938e-02  9.79125965e-03 -5.70817059e-03 -2.37236079e-02
 -7.95710236e-02  8.55567120e-03 -3.50409448e-02  2.84293741e-02
  6.05204515e-02 -6.55000359e-02 -3.37545574e-02  2.43028104e-02
 -4.31913882e-04  2.67930403e-02 -3.82108777e-03 -2.22715084e-02
  8.08878243e-03  1.41509864e-02  2.89901835e-03 -4.65252693e-33
  7.74166640e-03  3.88521515e-02  9.97396931e-03  5.09775504e-02
  3.80960405e-02 -6.43013325e-03  5.59838898e-02  6.16987236e-02
 -2.28908677e-02  4.13524685e-03  2.24144366e-02 -4.75591570e-02
 -5.63772880e-02 -5.62597774e-02  5.23339361e-02  2.75223833e-02
  1.87481765e-03  4.04608399e-02  4.59940284e-02 -3.08160204e-03
  3.82249281e-02 -1.92725491e-02  2.98884846e-02 -5.72733930e-04
 -4.49665077e-02  8.18415545e-04  5.68412431e-02  3.03668063e-02
 -1.83703139e-01  5.35532348e-02  7.23071247e-02 -2.60438379e-02
 -3.71140195e-04  1.48674324e-01 -6.41725883e-02 -9.06959828e-03
 -1.45064406e-02 -5.98957483e-03  9.72744916e-03 -6.71658367e-02
  5.09475172e-02 -5.60812056e-02  9.66032520e-02 -1.05284015e-02
  5.75210787e-02 -6.84554651e-02 -3.58855538e-02 -1.01059703e-02
  4.73940652e-03  1.55362980e-02  4.89805229e-02 -3.29221748e-02
  1.08548012e-02  5.18835634e-02  5.30258603e-02 -6.74657375e-02
 -1.00813136e-01 -9.46381614e-02  6.46737171e-03  2.24801395e-02
  8.85424316e-02  7.40386099e-02 -2.71955673e-02  4.95662466e-02
 -2.29715500e-02 -7.24809542e-02 -5.91981187e-02 -2.12716088e-02
 -9.41363350e-02 -2.49409657e-02  8.88115820e-03  5.94318379e-03
  5.07980026e-02 -9.67573002e-03 -2.66988692e-03 -4.08869609e-02
 -3.40384245e-02  1.43097881e-02 -1.25881908e-02 -1.63734145e-02
  1.26016466e-02 -5.34527414e-02 -6.83349669e-02  9.16649625e-02
  8.27728771e-03  4.97143231e-02  4.41002138e-02  4.77591110e-03
  1.03997059e-01 -1.58285489e-03 -1.09531004e-02  7.68375471e-02
 -2.52789445e-02  7.23318011e-02  7.50849303e-03 -2.40934579e-08
  4.51662019e-02  5.69198504e-02 -3.53987026e-03 -2.76361443e-02
 -2.86160428e-02 -2.94548795e-02  5.41964509e-02 -3.61205973e-02
  3.61870416e-02 -9.32805687e-02 -3.63383605e-03 -4.00384776e-02
  2.02437723e-03  2.74314601e-02 -4.70731501e-03  2.60988548e-02
 -5.58642205e-03  7.68925697e-02 -3.49571109e-02 -9.33424234e-02
 -6.17156550e-03 -1.12909656e-02  4.33047861e-02  6.99985772e-02
  5.56413271e-02  2.27230471e-02  1.25356261e-02 -1.07530758e-01
  1.62393134e-02  1.53181762e-01  1.18448799e-02 -1.86751559e-02
  1.64477490e-02 -9.83067323e-03  2.84170434e-02  7.97738358e-02
  5.91400042e-02 -3.53674777e-02  2.41264906e-02  1.26880333e-02
  2.44939439e-02 -8.79922137e-02  3.66595685e-02  4.95031103e-03
 -2.96469759e-02 -1.33315735e-02 -1.18406333e-01  3.95393148e-02
 -8.65893364e-02 -7.33223464e-03  4.52388860e-02 -8.83583911e-03
 -4.60178368e-02  3.24804485e-02 -1.74440518e-02 -9.22725722e-03
 -3.00463419e-02 -1.04118390e-02  3.57252136e-02  1.01261875e-02
 -7.60493577e-02 -9.05723572e-02  3.81483734e-02  5.81331737e-02]"
2,18006137,07/09/2018,,UNITED LABS ORDER,SOLVENT  INDUSTRIAL [DISSOLVES GREASE],"GREASE, LUBRICATION TYPE","UNITED LABS ORDERSOLVENT  INDUSTRIAL [DISSOLVES GREASE]GREASE, LUBRICATION TYPE","[-1.09906681e-01 -1.01353571e-01  1.30641013e-01  4.06392813e-02
 -1.85498763e-02 -1.45574717e-03 -2.73315441e-02 -4.60491469e-03
  1.10208627e-03 -1.32514596e-01  4.50554900e-02  7.57906362e-02
 -5.00374176e-02 -5.21968678e-02 -7.77397305e-02 -4.43731882e-02
  5.35370447e-02 -5.21047674e-02 -6.22825371e-03 -6.40155450e-02
  3.04952990e-02 -6.00138977e-02 -1.42530883e-02  2.36603571e-03
 -5.77679314e-02  1.22292124e-01  3.49869090e-03  1.53673198e-02
  1.73916500e-02 -2.75920331e-02  1.22532612e-02  1.40537368e-02
  1.47599559e-02 -5.17569333e-02  3.63911837e-02 -2.09355317e-02
 -2.87059266e-02 -5.58371134e-02  7.08151236e-02 -2.52158698e-02
  2.50476729e-02 -9.55092981e-02  6.66146278e-02 -3.91934216e-02
  6.01435639e-02 -3.54385227e-02  3.87223111e-03  2.52488954e-03
  4.78367880e-02 -2.51441430e-02 -2.70350538e-02 -2.89407335e-02
 -7.48009980e-03 -4.50852402e-02  6.81094080e-02 -5.50062954e-02
 -1.10499663e-02 -2.37762947e-02 -3.73011939e-02  9.79949310e-02
 -4.29952666e-02  3.06171551e-02 -3.91564816e-02  3.14402319e-02
 -9.51247662e-03 -4.76022474e-02  2.97363997e-02  9.37102770e-04
  2.05862522e-03  7.68838171e-03 -2.67766044e-02 -1.88182145e-02
 -7.45266229e-02  5.80376871e-02  4.31042425e-02  7.76462480e-02
 -2.94824596e-02 -3.00274938e-02  2.38285940e-02 -1.09497532e-01
 -1.07726492e-02 -8.41662288e-03  3.35130617e-02  3.28434482e-02
  4.85963635e-02  4.32890169e-02  2.27057859e-02 -7.09144399e-02
  4.18840498e-02  4.86274138e-02 -5.58549017e-02  9.95802414e-03
 -3.11605521e-02  1.39471591e-02  2.71102320e-02  5.64684756e-02
  3.72925843e-03  4.32395041e-02 -2.16449127e-02  3.86754721e-02
 -9.12187174e-02  1.72769483e-02 -2.00728979e-02 -6.49880767e-02
 -6.44217283e-02  7.77632091e-03 -5.39196767e-02  4.71506976e-02
  8.55812512e-04  2.23300662e-02 -1.24722505e-02 -2.25177743e-02
 -2.90572550e-02 -1.43689103e-02 -3.66939828e-02 -3.20992954e-02
  2.78835483e-02 -5.49696758e-03  1.45077771e-02 -3.94776836e-02
  2.31145937e-02  9.42264218e-03 -2.83444468e-02  6.92298496e-03
 -3.61855850e-02 -1.23641137e-02  4.80236970e-02 -2.84099742e-34
 -1.90755092e-02 -1.04403801e-01 -5.21576256e-02  6.06127903e-02
  3.76412459e-03  7.11447150e-02  8.45349580e-03  4.37558368e-02
 -3.86876166e-02  8.52907375e-02  7.01194927e-02  4.24922295e-02
 -3.19372825e-02  4.21520025e-02 -4.85838577e-02 -2.73799747e-02
  7.41870180e-02  4.10186239e-02  6.82781786e-02 -3.50735225e-02
  2.89769005e-02  3.49195637e-02  1.24955468e-03 -2.06867047e-02
  2.87014781e-03  2.31008269e-02 -1.21091425e-01 -1.33483729e-03
  6.82226941e-02  5.66432625e-02 -1.84186362e-03 -8.13526101e-03
 -2.83127017e-02  1.24710519e-02 -6.52210861e-02  2.13944633e-02
 -9.91952643e-02 -7.73932487e-02  9.38248355e-03 -2.99931858e-02
 -4.13020216e-02 -1.88691469e-04 -7.17834532e-02 -3.47329043e-02
  2.77521042e-03  6.35261163e-02 -5.53929247e-02  9.21364427e-02
  1.39739171e-01 -6.74450817e-03 -2.14464609e-02  3.43011282e-02
  8.28038380e-02 -5.27304038e-02 -4.13345955e-02  1.64478552e-02
  6.87750801e-02  4.10864828e-03  9.18658543e-03  4.23188135e-02
 -3.09752617e-02  2.44294763e-01 -7.08285272e-02  2.17217021e-03
  5.15715182e-02 -4.02174406e-02  3.93357240e-02  5.75846657e-02
 -2.56945491e-02  1.28382910e-02  4.17216010e-02 -2.94683017e-02
  4.67599854e-02  5.52936010e-02 -2.86650308e-03 -3.49752605e-02
  9.24887788e-03 -3.39451991e-02  2.67868824e-02 -4.99240011e-02
 -1.02699241e-02 -3.87701467e-02  5.02260178e-02 -2.36081071e-02
 -7.61238337e-02  7.40743652e-02 -3.80197205e-02  9.12698805e-02
  4.38462868e-02 -3.27345193e-03 -2.54255272e-02 -2.63531469e-02
  6.89835427e-03  1.28601089e-01 -2.82300748e-02 -2.01814233e-33
 -4.02962007e-02  1.53463269e-02 -4.58936319e-02 -1.42897591e-02
  4.95449267e-03  2.54553370e-02  3.18191200e-02 -3.30530689e-04
 -5.52346604e-03  3.93533558e-02  4.86966334e-02 -2.78982855e-02
  8.95492546e-03 -3.52047905e-02 -4.32061311e-03  9.15236622e-02
 -7.42216185e-02 -3.89022864e-02  5.13388682e-03  1.13010574e-02
  6.71453252e-02  6.21787533e-02  6.12762049e-02  8.99721161e-02
  1.68843400e-02 -2.49434263e-02  4.43129204e-02  5.05340956e-02
 -9.91294980e-02  6.79624900e-02 -1.13894197e-03 -2.48258263e-02
  6.14742981e-04 -8.10028091e-02 -6.93805069e-02 -5.35458559e-04
  2.46093646e-02 -4.58184294e-02 -9.71869845e-03 -1.16927184e-01
 -3.57653275e-02 -3.22290100e-02  4.51920964e-02  3.09130605e-02
  9.05691937e-04  1.56448334e-02 -2.27074930e-03 -4.73247282e-02
  1.79927014e-02  8.16081464e-02  3.65194911e-03  2.67490633e-02
 -3.91298570e-02 -3.95570695e-02 -5.43403774e-02  1.06127255e-01
  6.79516643e-02 -2.56266724e-02 -4.83538099e-02  5.47353588e-02
  5.09504899e-02  2.07042396e-02 -1.85240768e-02  7.57892355e-02
  8.40892494e-02  1.13528091e-02  8.27384442e-02 -1.55341970e-02
  8.26414861e-03 -5.31372279e-02  4.53833714e-02  5.84318414e-02
  1.17906267e-02 -3.54454145e-02  6.26816154e-02 -3.55599485e-02
  4.39937674e-02 -4.36983258e-02 -1.02560066e-01  1.32664023e-02
  5.74076474e-02  7.82914460e-03  2.41184998e-02  1.00758687e-01
 -6.34798557e-02 -7.57731944e-02 -3.37186977e-02  4.39525507e-02
  9.89127681e-02  4.47079949e-02  6.57987362e-03 -8.66735727e-03
  1.73662277e-03 -3.16784233e-02 -1.67836761e-03 -2.11232809e-08
  7.77341845e-03 -3.05828787e-02  7.61605427e-02 -1.40636442e-02
  2.17943508e-02 -6.37719780e-02 -1.64444577e-02  6.01489693e-02
  1.38621852e-02 -3.75848748e-02 -7.71504939e-02  3.62900794e-02
 -3.66306081e-02  4.81475927e-02  6.42449111e-02 -6.14616014e-02
 -5.56382909e-02  2.26222933e-03 -7.89795443e-02 -1.25877678e-01
  4.96557616e-02 -3.99983190e-02  1.37395740e-01 -1.59102082e-02
 -2.44114678e-02 -6.36724010e-02  3.79859693e-02  7.37711089e-03
 -4.84577082e-02  2.09460147e-02 -9.26995501e-02 -4.88394732e-03
 -4.18319106e-02 -2.46090200e-02 -8.95661395e-03 -2.72827316e-02
 -3.78673673e-02 -5.72969392e-02 -6.39647841e-02 -2.94981617e-02
 -6.57489523e-02 -1.45171219e-02  5.03273972e-04  5.86283254e-03
  8.40012655e-02  1.68586653e-02 -1.11810267e-01 -2.11181603e-02
  3.51975039e-02  4.19109426e-02  2.39461660e-02  3.65971588e-02
 -6.55223941e-03  1.76767502e-02  9.10150120e-04 -8.11400637e-02
 -4.10468206e-02  4.65071127e-02  2.02750992e-02 -9.40969065e-02
  5.25878780e-02  1.98780969e-02  1.14980534e-01 -2.69848183e-02]"
